 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1944     7.7     4.4     6.8    13.5    16.7    17.8    21.2    24.9    17.8    12.9     9.1     5.3    12.3    21.3    13.3     5.1    13.2
 1945     1.2     8.8    11.5    14.5    18.9    20.8    22.7    20.6    18.9    15.4     7.9     6.5    15.0    21.4    14.1     5.7    14.0
 1946     3.4     7.1     7.8    15.3    17.9    17.9    22.4    20.5    18.7    12.5     9.0     2.8    13.7    20.2    13.4     0.8    12.9
 1947     1.3    -1.7     7.0    13.6    20.2    22.2    23.5    25.2    22.3    14.5     9.9     6.6    13.6    23.6    15.6     6.6    13.7
 1948     7.6     5.6    11.8    14.9    18.2    19.7    20.7    20.8    18.9    13.8     9.5     6.9    15.0    20.4    14.1     7.2    14.0
 1949     6.8     7.9     8.2    15.3    16.6    18.6    22.6    22.5    22.1    16.1     8.7     7.8    13.3    21.2    15.6     6.8    14.4
 1950     4.1     8.3    10.6    11.6    17.8    22.2    22.0    22.8    16.8    13.0     8.9     2.6    13.3    22.3    12.9     4.9    13.4
 1951     5.8     6.4     7.4    11.9    16.1    19.4    21.3    21.3    19.5    13.5    11.3     7.9    11.8    20.7    14.7     6.0    13.5
 1952     5.0     5.1     8.2    15.9    17.9    19.5    22.0    21.8    15.4    11.8     6.0     4.2    14.0    21.1    11.0     4.3    12.7
 1953     3.8     4.9    10.1    13.6    18.1    19.7    20.9    21.5    18.7    15.2    10.2     8.0    13.9    20.7    14.7     4.3    13.7
 1954     2.8     2.0     9.2    11.3    17.9    19.2    17.9    19.8    17.5    14.6     9.7     8.3    12.8    19.0    14.0     4.9    12.5
 1955     3.1     3.1     5.8    12.2    14.5    18.6    21.8    22.7    19.1    13.2     9.8     7.6    10.8    21.0    14.0     4.0    12.6
 1956     5.1    -0.7     8.8     9.6    17.6    16.4    20.4    18.2    18.9    12.9     7.9     7.2    12.0    18.3    13.2     7.0    11.9
 1957     5.9     7.9    12.0    13.1    15.0    21.7    21.8    19.7    16.2    14.3     8.6     5.6    13.4    21.1    13.0     5.8    13.5
 1958     4.9     6.9     5.6    10.2    16.8    18.6    20.8    21.2    19.9    13.8     8.1     7.5    10.9    20.2    13.9     5.7    12.9
 1959     5.0     4.6    11.5    14.3    18.3    21.2    24.5    23.1    21.1    16.0     8.6     6.8    14.7    22.9    15.2     6.0    14.6
 1960     5.4     5.8     9.3    12.7    17.9    20.6    19.4    20.0    17.7    13.4    10.4     5.5    13.3    20.0    13.8     6.4    13.2
 1961     4.3     9.4    11.7    14.5    15.0    20.3    19.5    20.4    20.8    15.4     8.2     4.8    13.7    20.0    14.8     5.6    13.7
 1962     6.4     5.6     5.4    11.9    13.6    18.3    18.6    19.6    17.4    14.5     7.1     2.8    10.3    18.8    13.0     0.0    11.8
 1963    -2.2    -0.5     7.7    12.6    15.7    19.7    21.4    20.0    17.9    13.2    11.6     2.2    12.0    20.4    14.3     3.7    11.6
 1964     3.0     5.9     5.2    12.5    18.8    20.7    22.0    21.1    19.3    11.9     9.2     5.5    12.1    21.3    13.5     5.0    12.9
 1965     5.4     4.1     8.0    11.4    15.7    19.1    18.3    20.0    17.6    14.4     5.9     7.1    11.7    19.1    12.7     5.5    12.2
 1966     2.4     7.0     8.5    11.8    17.7    20.9    19.5    20.4    18.3    14.8     7.1     7.1    12.7    20.3    13.4     6.9    13.0
 1967     5.6     7.9    10.3    11.4    17.2    18.7    23.0    21.3    18.4    15.3     8.7     5.9    13.0    21.0    14.1     4.9    13.6
 1968     4.5     4.3     9.7    14.4    15.0    19.8    20.4    21.0    18.1    14.9     7.8     2.8    13.0    20.4    13.6     3.8    12.7
 1969     6.0     2.7     5.3    12.0    16.8    19.2    22.5    21.8    19.2    16.4     9.9     1.0    11.4    21.2    15.2     2.5    12.7
 1970     2.6     4.0     6.2     9.0    16.8    22.1    19.9    21.8    18.6    13.9    10.6     5.7    10.7    21.3    14.4     5.7    12.6
 1971     4.7     6.6     6.4    12.3    18.7    17.6    22.6    21.9    18.3    14.9     8.8     8.2    12.5    20.7    14.0     5.7    13.4
 1972     2.5     6.4    11.1    11.2    15.7    17.9    21.4    20.3    16.0    13.2     8.9     6.6    12.7    19.8    12.7     5.9    12.6
 1973     5.2     6.0     9.8     9.9    16.6    20.7    21.2    23.1    19.1    12.6     8.6     5.7    12.1    21.7    13.4     7.1    13.2
 1974     7.9     7.9     9.6    13.7    15.9    18.7    19.0    21.6    17.1    10.2     9.4     9.5    13.0    19.8    12.2     8.5    13.4
 1975     9.1     6.8     7.6    10.7    15.3    19.2    22.5    25.1    19.8    12.1     8.2     6.5    11.2    22.3    13.4     5.9    13.6
 1976     6.2     5.0     6.6    12.0    18.0    22.6    24.4    22.9    17.7    13.9     9.4     4.2    12.2    23.3    13.6     5.5    13.6
 1977     4.9     7.4    10.6    10.2    16.2    18.1    20.4    20.0    17.1    15.3     9.5     7.2    12.3    19.5    14.0     5.4    13.1
 1978     5.4     3.6     9.5    10.7    16.0    18.7    19.2    19.6    17.0    14.5     9.6     4.6    12.1    19.2    13.7     2.1    12.4
 1979    -0.0     1.7     7.6    11.0    16.3    19.2    19.4    20.0    18.5    14.1     8.9     8.1    11.6    19.5    13.8     5.9    12.1
 1980     2.5     7.2     7.8    11.6    16.4    18.6    18.8    21.1    19.3    13.1     7.5     6.3    11.9    19.5    13.3     5.2    12.5
 1981     4.8     4.4    11.1    12.1    17.9    18.0    20.0    21.0    19.2    12.2     9.7     2.5    13.7    19.7    13.7     3.9    12.7
 1982     3.6     5.6     9.3    11.9    17.3    20.3    23.1    22.0    20.9    14.2    10.7     6.7    12.9    21.8    15.2     6.3    13.8
 1983     8.7     3.5     9.2    12.5    14.5    20.4    24.8    23.4    18.1    14.3     9.6     6.4    12.1    22.9    14.0     5.7    13.8
 1984     6.0     4.6     7.5    12.5    14.3    17.1    19.7    22.7    16.7    14.9    10.6     6.7    11.4    19.8    14.1     3.0    12.8
 1985     0.0     2.4     7.1    11.9    17.3    17.2    21.4    20.5    18.4    14.2     5.6     8.2    12.1    19.7    12.7     4.0    12.0
 1986     4.8    -1.0     7.7     9.8    18.1    20.5    21.5    20.4    16.0    15.2    11.0     7.6    11.9    20.8    14.1     3.9    12.6
 1987    -0.6     4.5     5.1    14.6    13.9    17.0    20.7    19.9    18.7    14.4     9.1     6.7    11.2    19.2    14.1     7.4    12.0
 1988     8.4     7.1     7.7    13.0    18.8    18.0    20.1    21.5    17.5    14.0     8.9     8.6    13.2    19.9    13.5     8.2    13.6
 1989     7.5     8.4    12.2    10.6    19.8    20.4    22.5    22.1    19.7    15.6     9.1     7.8    14.2    21.7    14.8     8.8    14.6
 1990     7.7    11.0    12.4    13.1    19.4    18.6    21.6    24.1    16.7    15.6     9.1     6.2    15.0    21.4    13.8     5.1    14.6
 1991     6.0     3.0    12.0    12.7    13.9    16.2    23.3    23.2    20.2    13.7     8.6     6.5    12.9    20.9    14.2     6.7    13.3
 1992     5.6     8.1    10.0    12.6    20.1    21.7    23.0    22.6    18.5    11.3    10.3     6.2    14.2    22.4    13.4     6.1    14.2
 1993     7.7     4.4     9.8    15.2    18.9    19.9    20.1    20.0    16.5    12.1     4.9     7.6    14.6    20.0    11.2     6.6    13.1
 1994     7.6     4.6    10.6    12.6    16.5    19.5    26.2    22.4    17.1    13.2    12.1     8.7    13.2    22.7    14.1     8.0    14.2
 1995     6.1     9.2     8.9    12.7    17.5    18.2    24.9    24.8    17.5    17.0     9.2     2.3    13.0    22.6    14.6     2.3    14.0
 1996     1.9     2.6     6.4    14.1    14.3    19.5    20.5    22.3    16.5    14.5     8.6     2.9    11.6    20.8    13.2     4.6    12.0
 1997     2.0     8.8    11.1    11.9    16.9    19.9    21.6    25.4    19.3    13.5     8.8     7.2    13.3    22.3    13.9     8.1    13.9
 1998     7.3     9.7    10.7    12.5    19.0    19.6    19.8    21.4    17.9    12.5     6.5     6.5    14.1    20.3    12.3     6.7    13.6
 1999     7.7     5.8    10.6    13.7    18.4    19.5    23.9    22.1    21.8    14.0     9.3     7.3    14.2    21.8    15.1     7.6    14.5
 2000     6.6     8.8     9.9    14.4    19.1    20.3    18.7    22.3    18.8    14.7    10.5     7.6    14.5    20.4    14.7     6.8    14.3
 2001     5.4     7.2     8.0    11.7    18.9    18.8    23.0    23.4    16.4    17.1     9.8     5.7    12.8    21.7    14.4     7.4    13.8
 2002     6.6     9.9    11.1    13.4    17.5    20.7    21.4    23.4    19.0    13.1    10.3     4.7    14.0    21.8    14.1     4.9    14.2
 2003     5.0     4.9    11.7    14.6    18.0    23.0    23.7    25.2    20.2    11.7    10.7     7.3    14.8    24.0    14.2     6.7    14.7
 2004     5.4     7.5     9.8    14.7    16.5    19.4    20.9    23.2    19.4    14.7     9.3     6.3    13.7    21.2    14.5     6.1    13.9
 2005     7.4     4.5     9.3    14.4    17.1    20.9    21.9    20.5    20.5    16.8     9.6     6.4    13.6    21.1    15.7     4.8    14.1
 2006     3.5     4.6     6.8    12.5    18.0    21.2    25.9    20.4    22.3    17.2    12.4     9.4    12.5    22.5    17.3     9.2    14.5
 2007     9.6     8.5    12.1    17.3    18.3    20.9    20.8    21.4    17.9    13.9     9.5     6.5    15.9    21.1    13.8     8.1    14.7
 2008     8.7     9.1     9.3    12.7    20.4    21.0    22.6    21.5    17.9    13.9     9.8     5.5    14.2    21.7    13.9     4.9    14.4
 2009     3.4     5.7     9.8    17.0    18.4    19.4    22.6    24.1    19.9    13.7    12.0     5.1    15.1    22.0    15.2     3.5    14.3
 2010     1.3     4.0     9.8    14.2    14.4    21.1    25.0    21.1    17.7    14.1     8.6     1.5    12.8    22.4    13.5     4.5    12.7
 2011     5.6     6.4    10.6    18.0    19.3    20.8    19.9    21.5    20.3    15.5    10.2     8.9    15.9    20.7    15.3     6.5    14.7
 2012     7.0     3.6    12.6    12.4    18.6    18.5    21.3    23.5    19.0    14.0     9.8     7.0    14.6    21.1    14.3     5.1    14.0
 2013     4.3     3.8     5.1    12.4    15.5    19.2    24.2    23.3    18.3    15.7     9.5     8.9    11.0    22.2    14.5     8.7    13.4
 2014     7.3     9.7    13.3    16.1    17.3    20.3    24.2    20.7    20.4    16.8    11.0     7.5    15.5    21.7    16.1     6.8    15.4
 2015     6.6     6.3    10.4    14.0    16.7    19.9    22.9    23.9    17.8    13.3    12.6    11.8    13.7    22.2    14.6     8.7    14.7
 2016     6.5     7.7     9.1    12.6    18.8    20.4    22.4    22.9    22.6    13.3     8.9     7.9    13.5    21.9    14.9     6.6    14.4
 2017     4.2     7.7    12.7    12.7    19.3    22.1    22.0    22.1    17.8    16.2    10.0     7.3    14.9    22.1    14.7     6.2    14.5
 2018     7.8     3.5     7.6    16.7    21.6    21.7    26.0    24.5    20.5    16.6    10.0     8.6    15.3    24.1    15.7     8.2    15.4
 2019     5.8    10.3    11.7    15.5    16.1    23.5    23.4    24.3    19.3    15.2     9.5     8.9    14.4    23.7    14.6     9.3    15.3
 2020     8.8    10.1    10.9    16.5    18.1    21.7    21.7    25.6    20.6    14.6    11.9     7.9    15.1    23.0    15.7     6.8    15.7
 2021     5.3     7.2    10.7    11.3    15.2    22.7    22.4    20.9    20.6    15.4    10.0     7.5    12.4    22.0    15.3     8.4    14.1
 2022     7.8     9.9    11.5    13.6    19.3    22.3    24.1    26.3    18.9    17.6    11.6     6.7    14.8    24.3    16.0     7.9    15.8
 2023     8.2     8.9    10.4    12.5    17.9    24.0    22.5    22.1    23.2    16.6    10.4     8.8    13.6    22.9    16.7  -999.0    15.5
