Year,Cloud cover,potential evapo-transpiration,Precipitation rate,Minimum 2m temperature,Mean 2m temperature,Maximum 2m temperature,Vapour pressure,Frost days,Wet days,cld_MAM,cld_JJA,cld_SON,cld_DJF,dtr_MAM,dtr_JJA,dtr_SON,dtr_DJF,frs_MAM,frs_JJA,frs_SON,frs_DJF,pet_MAM,pet_JJA,pet_SON,pet_DJF,pre_MAM,pre_JJA,pre_SON,pre_DJF,tmn_MAM,tmn_JJA,tmn_SON,tmn_DJF,tmp_MAM,tmp_JJA,tmp_SON,tmp_DJF,tmx_MAM,tmx_JJA,tmx_SON,tmx_DJF,vap_MAM,vap_JJA,vap_SON,vap_DJF,wet_MAM,wet_JJA,wet_SON,wet_DJF,wind_speed_10m_max
1973.0,71.76666666666667,1.65,59.84166666666667,5.575,9.375,13.208333333333334,10.15,89.7,182.2,70.9,64.6,70.9,79.2,8.4,9.8,7.4,5.1,27.4,0.0,16.3,36.5,1.8,3.2,1.1,0.6,149.4,157.7,243.1,178.3,3.7,11.9,6.0,2.0,7.9,16.8,9.7,4.6,12.1,21.7,13.4,7.1,8.6,14.6,10.5,7.3,45.0,35.6,52.6,53.8,20.879097
1974.0,74.50833333333334,1.6333333333333335,74.61666666666666,6.116666666666667,9.716666666666669,13.375,10.2,62.3,202.6,66.3,69.5,80.7,79.1,8.8,9.0,6.3,5.3,21.8,0.1,14.5,28.6,2.0,2.8,1.1,0.7,96.4,205.8,378.5,220.9,4.3,10.8,5.9,3.1,8.6,15.3,9.0,5.8,13.0,19.8,12.2,8.5,8.8,14.1,9.9,7.9,35.4,46.3,64.9,53.3,22.79896
1975.0,72.96666666666667,1.7666666666666666,56.425,6.1000000000000005,9.825,13.575,10.258333333333336,76.5,182.1,76.3,58.4,77.1,82.0,7.4,10.1,7.0,4.8,25.0,0.1,15.4,44.1,1.7,3.4,1.2,0.5,165.1,149.0,207.0,164.7,3.9,12.2,6.3,1.1,7.5,17.2,9.8,3.5,11.2,22.3,13.4,5.9,8.6,14.9,10.3,6.9,50.4,37.9,48.5,48.4,21.03525
1976.0,68.29166666666667,1.925,45.8,5.741666666666667,9.641666666666667,13.575,9.85,91.3,164.0,62.0,53.1,79.2,81.1,9.1,10.9,6.3,4.9,32.2,0.0,7.9,47.5,2.1,3.9,1.1,0.5,69.2,95.4,193.4,219.6,3.1,12.4,7.3,0.6,7.6,17.8,10.4,3.1,12.2,23.3,13.6,5.5,7.9,14.1,10.9,6.6,30.5,29.6,52.8,55.9,20.967447
1977.0,76.28333333333333,1.5166666666666666,62.16666666666666,6.075,9.55,13.075,10.258333333333333,69.9,194.0,71.7,77.4,73.7,82.2,8.2,8.1,7.0,4.8,23.1,0.0,8.1,46.2,1.9,2.6,1.1,0.4,155.7,179.7,209.0,148.6,4.1,11.4,7.0,0.6,8.2,15.4,10.5,3.0,12.3,19.5,14.0,5.4,8.5,14.2,11.0,6.8,46.4,42.4,50.1,47.3,21.72135
1978.0,76.28333333333333,1.5333333333333334,57.15833333333333,5.45,8.883333333333333,12.366666666666667,9.85,85.1,184.0,74.1,72.3,77.4,81.8,7.7,8.4,6.7,4.9,22.1,0.0,9.3,66.6,1.8,2.8,1.1,0.5,141.3,194.0,155.3,201.8,4.4,10.8,7.0,-2.8,8.2,15.0,10.3,-0.4,12.1,19.2,13.7,2.1,8.9,13.3,10.9,5.1,44.3,44.8,41.4,54.0,21.052631
1979.0,76.26666666666667,1.525,71.44166666666666,4.916666666666667,8.475,12.066666666666668,9.783333333333331,94.8,197.1,75.7,74.2,72.1,79.6,7.8,8.5,7.6,4.9,25.7,0.0,12.9,44.1,1.7,2.7,1.1,0.5,249.9,189.9,178.6,240.0,3.8,11.0,6.2,1.0,7.7,15.3,10.0,3.4,11.6,19.5,13.8,5.9,8.6,14.0,10.7,7.0,56.3,41.3,44.3,57.2,21.601227
1980.0,73.26666666666667,1.5416666666666667,70.33333333333333,5.308333333333334,8.883333333333333,12.516666666666667,9.983333333333333,93.3,200.0,67.7,75.4,71.6,78.3,8.4,8.2,7.0,5.1,27.3,0.0,15.2,51.7,2.0,2.6,1.1,0.4,121.2,318.7,209.9,222.6,3.5,11.3,6.3,0.0,7.7,15.4,9.7,2.6,11.9,19.5,13.3,5.2,8.1,14.5,10.6,6.6,39.9,53.4,53.2,57.9,21.795118
1981.0,76.01666666666667,1.5333333333333334,74.75833333333334,5.633333333333334,9.158333333333331,12.741666666666667,10.241666666666667,87.30000000000001,216.6,75.1,75.4,73.8,78.5,8.1,8.1,7.1,5.6,14.9,0.0,12.0,64.0,1.9,2.6,1.2,0.4,221.2,178.5,289.9,154.2,5.6,11.6,6.6,-1.8,9.6,15.6,10.1,1.0,13.7,19.7,13.7,3.9,9.8,14.5,10.6,5.9,54.6,44.3,60.3,50.1,21.9217
1982.0,69.29166666666667,1.75,60.28333333333333,6.108333333333333,9.925,13.8,10.533333333333331,85.2,184.3,64.3,65.0,71.2,77.8,9.0,9.0,7.1,5.2,25.9,0.0,5.6,42.2,2.1,3.2,1.3,0.6,137.5,203.6,223.1,211.8,3.9,12.8,8.1,1.1,8.3,17.3,11.7,3.7,12.9,21.8,15.2,6.3,8.6,15.3,11.8,6.8,43.3,40.9,51.7,53.7,21.121735
