 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1944    68.0    37.3    32.1    33.5    42.9    72.8    73.8    32.8   101.2    95.6   163.0    77.1   108.5   179.4   359.8   200.1   830.1
 1945    57.4    65.6    26.4    50.3    81.5    47.7    60.7   106.6    82.1    49.5    43.1    72.0   158.2   215.0   174.7   242.0   742.8
 1946    54.7   115.3    37.7    24.6    49.6    77.3    55.7    90.4    91.6    60.2    58.6    47.8   111.8   223.4   210.4    97.9   763.4
 1947    25.9    24.2    87.0    61.4    37.3    43.8    71.1    40.6    52.1    18.4   107.9    89.0   185.7   155.5   178.3   260.8   658.7
 1948   130.2    41.6    29.1    54.5    41.7    73.3    96.3    93.2    56.6    43.0    32.0    52.8   125.4   262.7   131.5   119.3   744.3
 1949    38.5    28.0    36.5    52.3    60.6    25.0    33.0    54.0    61.2    72.1    81.6    79.9   149.3   111.9   214.9   206.5   622.6
 1950    41.0    85.6    24.9    72.5    57.0    54.1    95.3    91.5   117.9    36.0   116.9    78.4   154.5   240.9   270.8   214.7   871.2
 1951    82.4    53.9    82.1    64.6    54.5    56.2    58.8   107.1    67.2    17.5   105.9    63.2   201.2   222.1   190.6   208.9   813.4
 1952    99.2    46.6    63.0    21.7    27.8    48.2    77.4    94.9    97.5    75.1   111.1    89.4   112.5   220.5   283.7   170.7   851.8
 1953    22.6    58.7    14.4    47.5    41.0    81.4    85.6    84.9    55.2    14.0    23.8    40.9   102.9   251.9    93.1   137.8   570.1
 1954    59.5    37.4    44.0    19.5    34.8    68.1   118.4   116.5    87.3    83.9    60.7    72.4    98.3   303.0   232.0   182.3   802.4
 1955    63.0    46.9    36.8    23.3    76.5    56.0    29.6    50.1    70.8    90.2    26.7    78.4   136.6   135.7   187.7   208.3   648.4
 1956   100.8    29.0    35.9    34.2    42.7    62.1    98.0   129.5    60.1   105.4    47.7    52.5   112.8   289.6   213.2   185.8   797.9
 1957    46.2    87.1    56.0    13.6    47.7    37.5   114.8   120.0   144.0    59.0    44.8    48.5   117.3   272.3   247.8   220.9   819.3
 1958    82.0    90.4    28.4    45.9    68.8    49.6    84.0    97.8    77.8    78.2    29.8    77.7   143.1   231.4   185.9   178.2   810.5
 1959    94.1     6.4    49.3    53.9    19.3    41.5    50.1    41.2     4.7    67.8    43.9    67.2   122.5   132.7   116.4   180.5   539.3
 1960    73.0    40.3    24.4    29.1    40.8    48.4   109.7   122.5    72.9   118.9   117.7    93.8    94.3   280.7   309.5   253.0   891.5
 1961    95.4    63.9    34.3    54.5    40.8    60.7    98.6    87.2    73.7   105.6    74.6   104.4   129.6   246.5   253.8   236.7   893.4
 1962    80.6    51.7    44.9    65.0    61.2    20.9    85.2    79.8    72.8    52.6    41.0    85.6   171.1   185.8   166.3   121.3   741.1
 1963    20.8    14.9    56.1    44.9    63.0    75.8    51.8   124.5    68.9    59.4    94.9    17.2   164.0   252.2   223.2    65.1   692.3
