YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1945     0.0     1.2     1.6     2.4     3.4     3.6     3.5     2.4     1.9     1.2     0.3     0.4     2.5     3.1     1.2     0.6     1.8
 1946     0.2     1.0     1.1     2.6     3.1     2.7     3.4     2.5     1.8     0.9     0.6     0.0     2.2     2.9     1.1     0.0     1.6
 1947     0.0     0.0     1.1     2.3     3.7     3.9     3.8     3.7     2.7     0.9     0.9     0.5     2.4     3.8     1.5     0.8     2.0
 1948     1.1     0.7     1.7     2.5     3.2     3.2     2.9     2.6     1.9     1.0     0.6     0.3     2.4     2.9     1.2     0.5     1.8
 1949     0.5     0.7     1.1     2.5     2.7     2.9     3.5     3.1     2.3     1.2     0.4     0.5     2.1     3.2     1.3     0.6     1.8
 1950     0.4     1.1     1.4     1.7     2.9     3.9     3.2     3.0     1.4     0.8     0.7     0.1     2.0     3.4     1.0     0.6     1.7
 1951     0.7     0.8     1.1     1.9     2.7     3.2     3.2     2.6     1.9     0.8     0.8     0.3     1.9     3.0     1.2     0.5     1.7
 1952     0.5     0.5     1.2     2.7     3.0     3.3     3.4     2.8     1.4     0.8     0.4     0.2     2.3     3.2     0.8     0.4     1.7
 1953     0.3     0.6     1.3     2.2     3.1     2.9     2.8     2.7     1.8     1.0     0.4     0.5     2.2     2.8     1.1     0.3     1.6
 1954     0.2     0.3     1.3     1.7     3.0     2.9     2.2     2.3     1.6     1.2     0.7     0.6     2.0     2.5     1.2     0.5     1.5
 1955     0.2     0.6     0.8     2.0     2.3     3.0     3.1     3.0     1.7     0.8     0.6     0.7     1.7     3.0     1.1     0.5     1.6
 1956     0.5     0.2     1.2     1.4     3.1     2.2     2.8     2.1     1.9     0.9     0.5     0.5     1.9     2.4     1.1     0.8     1.4
 1957     0.6     1.2     1.7     2.0     2.2     3.8     3.2     2.2     1.4     1.0     0.5     0.3     2.0     3.1     1.0     0.6     1.7
 1958     0.5     1.0     0.6     1.4     2.8     2.8     2.9     2.6     2.0     1.0     0.4     0.7     1.6     2.8     1.1     0.6     1.5
 1959     0.7     0.3     1.6     2.4     3.1     3.6     4.1     3.2     2.3     1.1     0.3     0.5     2.3     3.7     1.2     0.6     1.9
 1960     0.5     0.8     1.2     1.9     2.9     3.3     2.5     2.3     1.6     0.9     1.0     0.5     2.0     2.7     1.2     0.6     1.6
 1961     0.5     0.9     1.5     2.0     2.4     3.4     2.9     2.6     2.0     1.3     0.5     0.2     2.0     3.0     1.3     0.6     1.7
 1962     0.6     0.8     1.0     1.9     2.0     3.1     2.6     2.5     1.7     1.0     0.3     0.3     1.6     2.7     1.0     0.2     1.5
 1963     0.1     0.3     0.8     1.8     2.6     3.0     3.3     2.6     1.7     0.8     0.8     0.0     1.7     2.9     1.1     0.3     1.5
 1964     0.3     0.6     0.7     1.8     2.9     3.4     3.2     2.7     2.0     0.9     0.5     0.4     1.8     3.1     1.1     0.6     1.6
 1965     0.7     0.6     1.0     1.6     2.3     2.8     2.5     2.4     1.7     0.9     0.2     0.7     1.6     2.6     0.9     0.5     1.4
 1966     0.2     0.6     1.2     1.7     3.0     3.2     2.7     2.6     1.7     1.0     0.4     0.6     1.9     2.8     1.1     0.7     1.6
 1967     0.6     1.0     1.5     1.7     2.8     2.8     3.5     2.7     1.7     1.4     0.6     0.5     2.0     3.0     1.2     0.5     1.7
 1968     0.3     0.8     1.4     2.4     2.3     3.0     3.0     2.5     1.6     0.8     0.4     0.1     2.0     2.8     0.9     0.4     1.5
 1969     0.4     0.7     0.8     2.0     2.6     3.1     3.3     2.7     1.9     1.0     1.0     0.0     1.8     3.0     1.3     0.2     1.6
 1970     0.0     0.6     1.0     1.3     2.6     3.7     2.8     2.7     1.8     1.1     0.9     0.4     1.6     3.1     1.3     0.6     1.6
 1971     0.6     0.9     1.0     2.0     3.1     2.7     3.6     2.9     2.1     1.2     0.6     0.5     2.0     3.0     1.3     0.5     1.8
 1972     0.4     0.7     1.7     1.7     2.3     2.8     2.9     2.6     1.8     1.2     0.6     0.5     1.9     2.8     1.2     0.5     1.6
 1973     0.4     0.6     1.3     1.6     2.5     3.4     3.1     3.2     1.9     0.9     0.6     0.3     1.8     3.2     1.1     0.6     1.7
 1974     0.6     0.8     1.2     2.4     2.4     2.9     2.6     2.9     1.7     0.9     0.7     0.5     2.0     2.8     1.1     0.7     1.6
 1975     0.6     0.9     1.0     1.5     2.5     3.3     3.4     3.7     2.3     0.9     0.5     0.6     1.7     3.4     1.2     0.5     1.7
 1976     0.5     0.5     1.2     2.2     3.1     4.1     4.2     3.5     1.8     0.9     0.6     0.5     2.1     3.9     1.1     0.5     1.9
 1977     0.4     0.7     1.3     1.6     2.8     2.6     2.9     2.3     1.7     1.0     0.6     0.3     1.9     2.6     1.1     0.4     1.5
 1978     0.6     0.4     1.1     1.8     2.5     3.0     2.8     2.6     1.6     1.1     0.6     0.3     1.8     2.8     1.1     0.5     1.5
 1979     0.5     0.6     1.0     1.7     2.5     2.9     2.7     2.4     1.9     1.0     0.6     0.5     1.7     2.7     1.1     0.5     1.5
 1980     0.3     0.6     1.0     1.9     3.1     2.7     2.5     2.5     1.9     1.1     0.5     0.4     2.0     2.6     1.1     0.4     1.5
 1981     0.3     0.6     1.1     2.0     2.6     2.6     2.7     2.6     2.0     1.0     0.6     0.3     1.9     2.6     1.2     0.4     1.5
 1982     0.3     0.7     1.3     2.0     2.9     3.1     3.7     2.8     2.2     0.9     0.6     0.5     2.1     3.2     1.3     0.6     1.8
 1983     0.7     0.7     1.1     1.8     2.0     3.4     4.1     3.4     1.9     1.2     0.5     0.4     1.6     3.6     1.2     0.6     1.8
 1984     0.6     0.6     1.2     2.3     2.1     2.6     2.9     3.1     1.4     1.0     0.7     0.4     1.9     2.8     1.0     0.4     1.6
 1985     0.3     0.6     0.9     1.7     2.5     2.6     3.2     2.6     1.8     1.1     0.5     0.4     1.7     2.8     1.1     0.6     1.5
 1986     0.5     0.8     1.1     1.5     2.9     3.4     3.2     2.8     1.8     1.1     0.7     0.5     1.8     3.2     1.2     0.5     1.7
 1987     0.3     0.6     0.9     2.2     2.2     2.3     3.0     2.3     1.8     1.1     0.6     0.3     1.7     2.5     1.2     0.6     1.5
 1988     0.6     0.8     0.9     2.2     3.2     2.7     2.7     2.8     1.6     1.0     0.5     0.4     2.1     2.7     1.0     0.6     1.6
 1989     0.5     0.8     1.4     1.7     3.7     3.6     3.5     2.9     1.9     1.2     0.7     0.5     2.3     3.3     1.3     0.7     1.9
 1990     0.6     1.1     1.6     2.1     3.6     2.7     3.7     3.5     1.7     1.2     0.6     0.5     2.4     3.3     1.2     0.6     1.9
 1991     0.7     0.5     1.3     2.2     2.1     2.4     3.6     3.3     2.3     1.1     0.6     0.4     1.9     3.1     1.3     0.6     1.7
 1992     0.5     0.7     1.2     1.9     3.7     3.6     3.5     2.9     1.8     1.0     0.6     0.4     2.3     3.3     1.1     0.5     1.8
 1993     0.6     0.4     1.5     2.2     3.0     3.1     2.6     2.5     1.4     0.9     0.3     0.4     2.2     2.8     0.9     0.6     1.6
 1994     0.6     0.7     1.2     1.9     2.4     3.1     4.4     2.9     1.5     1.0     0.5     0.5     1.8     3.5     1.0     0.6     1.7
 1995     0.5     0.7     1.3     1.7     2.8     2.7     3.9     3.7     1.6     1.1     0.5     0.4     2.0     3.4     1.1     0.5     1.7
 1996     0.5     0.5     1.0     2.5     2.1     3.2     3.0     2.9     1.7     1.1     0.6     0.4     1.9     3.0     1.1     0.5     1.6
 1997     0.4     0.9     1.2     2.1     2.6     3.1     3.1     3.6     2.2     1.0     0.4     0.4     2.0     3.3     1.2     0.7     1.8
 1998     0.7     0.9     1.2     1.7     3.0     2.8     2.8     2.9     1.5     0.9     0.4     0.3     1.9     2.8     0.9     0.5     1.6
 1999     0.6     0.6     1.2     1.9     2.9     3.2     3.8     2.8     2.2     1.1     0.5     0.6     2.0     3.3     1.3     0.7     1.8
 2000     0.5     0.9     1.2     2.2     3.0     3.3     2.4     3.0     1.6     1.2     0.8     0.5     2.1     2.9     1.2     0.5     1.7
 2001     0.5     0.7     0.9     1.7     3.3     3.0     3.5     3.1     1.4     1.1     0.6     0.3     2.0     3.2     1.0     0.6     1.7
 2002     0.4     1.0     1.4     2.2     2.6     3.2     3.0     2.9     2.0     1.0     0.5     0.1     2.1     3.1     1.2     0.4     1.7
 2003     0.4     0.7     1.6     2.6     2.8     3.9     3.8     3.8     2.5     1.1     0.6     0.5     2.3     3.8     1.4     0.6     2.0
 2004     0.5     0.8     1.3     2.3     2.6     2.9     3.1     3.0     2.2     1.2     0.6     0.4     2.1     3.0     1.3     0.5     1.7
 2005     0.7     0.6     1.0     2.2     2.7     3.6     3.1     2.6     2.1     1.2     0.6     0.5     2.0     3.1     1.3     0.5     1.7
 2006     0.3     0.6     0.9     1.9     2.8     3.7     4.5     2.3     2.4     1.3     0.9     0.7     1.9     3.5     1.5     0.7     1.9
 2007     0.8     0.7     1.6     2.8     2.8     2.9     3.0     2.8     1.7     1.0     0.7     0.5     2.4     2.9     1.1     0.7     1.8
 2008     0.7     1.1     1.3     2.0     3.6     3.6     3.5     2.7     1.9     1.1     0.6     0.4     2.3     3.2     1.2     0.5     1.9
 2009     0.4     0.6     1.3     2.6     3.0     3.2     3.6     3.6     2.2     1.0     0.9     0.4     2.3     3.5     1.4     0.4     1.9
 2010     0.4     0.6     1.3     2.6     2.3     3.7     4.4     2.6     1.7     1.1     0.6     0.3     2.1     3.6     1.1     0.4     1.8
 2011     0.5     0.5     1.4     3.0     3.6     3.4     3.0     2.7     2.1     1.2     0.4     0.7     2.7     3.0     1.3     0.6     1.9
 2012     0.6     0.4     1.6     2.0     3.0     2.8     3.2     3.3     2.2     1.1     0.7     0.4     2.2     3.1     1.3     0.5     1.8
 2013     0.5     0.7     1.1     2.1     2.5     3.0     4.0     3.3     1.8     1.2     0.7     0.7     1.9     3.5     1.2     0.8     1.8
 2014     0.6     1.1     1.8     2.3     2.7     3.4     3.7     2.7     2.0     1.3     0.6     0.6     2.3     3.3     1.3     0.7     1.9
 2015     0.7     0.7     1.5     2.4     2.8     3.5     3.7     3.4     1.9     0.9     0.7     0.9     2.2     3.5     1.2     0.7     1.9
 2016     0.5     0.9     1.3     2.1     3.1     2.9     3.4     3.1     2.6     1.1     0.6     0.5     2.1     3.1     1.4     0.6     1.8
 2017     0.5     0.7     1.6     2.2     3.0     3.7     3.3     3.0     1.8     1.3     0.8     0.6     2.3     3.3     1.3     0.7     1.9
 2018     0.7     0.8     1.1     2.5     3.8     3.6     4.9     3.6     2.5     1.5     0.7     0.5     2.4     4.0     1.6     0.8     2.2
 2019     0.6     1.1     1.5     2.7     2.6     4.1     3.9     3.6     2.2     1.2     0.7     0.7     2.3     3.9     1.4     0.8     2.1
 2020     0.7     1.1     1.7     3.1     3.5     3.7     3.5     3.7     2.3     1.2     0.7     0.5     2.7     3.6     1.4     0.6     2.1
 2021     0.6     0.7     1.5     2.3     2.4     3.8     3.3     2.5     2.1     1.2     0.7     0.3     2.0     3.2     1.3     0.7     1.8
 2022     0.8     1.1     1.8     2.4     3.3     4.0     4.3     4.2     2.1     1.4     0.7     0.4     2.5     4.1     1.4     0.7     2.2
 2023     0.8     0.9     1.3     2.0     3.0     4.4     3.5     2.8     2.5     1.2     0.7     0.6     2.1     3.6     1.5  -999.0     2.0
