 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1943     0.3     2.0     2.2     5.5     7.4     9.9    12.1    13.0     9.6     7.0     2.2    -0.0     5.0    11.7     6.3     0.8     5.9
 1944     3.2    -0.7     0.1     4.4     6.1     9.7    12.9    13.9     9.3     6.6     3.8     0.4     3.5    12.2     6.6    -0.2     5.8
 1945    -4.3     3.2     3.7     4.7     8.6    11.0    12.9    12.5    10.7     7.9     3.2     1.6     5.7    12.1     7.3     0.7     6.3
 1946    -1.8     2.1     1.2     4.8     7.9     9.9    13.0    11.6    10.6     5.5     3.9    -1.8     4.6    11.5     6.7    -4.5     5.6
 1947    -4.2    -7.4    -0.3     4.3     9.1    11.9    13.6    13.4    12.2     4.9     4.5     2.0     4.4    13.0     7.2     1.5     5.3
 1948     2.8    -0.2     2.3     5.1     7.8    10.3    12.2    12.5    10.7     6.3     3.0     1.8     5.1    11.7     6.7     1.4     6.2
 1949     1.5     0.8    -0.5     5.2     7.0     9.0    12.1    12.1    12.7     7.9     2.9     3.1     3.9    11.1     7.8     1.4     6.2
 1950    -1.3     2.4     2.7     3.4     8.3    11.6    13.0    12.6    10.2     6.0     3.7    -1.6     4.8    12.4     6.6     0.3     5.9
 1951     1.7     1.0     0.2     2.3     6.7     9.8    11.5    12.2    10.7     3.8     5.6     2.8     3.0    11.2     6.7     1.0     5.7
 1952     0.5    -0.2     0.8     4.6     7.5     9.6    12.4    12.7     7.3     4.8     0.8    -0.1     4.3    11.6     4.3    -0.4     5.1
 1953    -0.3    -0.9     0.7     3.6     7.6    11.1    12.6    11.7     9.1     7.8     4.4     3.3     4.0    11.8     7.1    -1.2     5.9
 1954    -2.8    -4.2     2.0     1.5     7.1    10.5    10.7    11.8     9.8     8.3     3.3     3.4     3.5    11.0     7.2    -0.5     5.1
 1955    -2.0    -3.0    -1.9     2.8     5.3     9.2    12.8    12.7     9.9     5.6     3.3     2.4     2.0    11.6     6.3    -1.9     4.8
 1956    -0.2    -7.8     0.9     1.3     6.6     8.8    12.3    10.1    10.0     6.5     2.0     3.3     3.0    10.4     6.2     2.4     4.5
 1957     1.0     2.7     4.0     3.0     5.2    10.3    13.0    11.5     8.9     6.9     4.1     0.7     4.1    11.6     6.6     0.2     5.9
 1958    -0.4     0.4    -1.5     1.5     7.7     9.6    12.2    12.7    11.1     8.0     3.4     2.8     2.5    11.5     7.5     0.2     5.6
 1959    -0.6    -1.7     3.1     4.9     7.4    10.1    13.1    12.7     9.2     5.9     2.3     2.5     5.1    12.0     5.8     0.8     5.7
 1960     0.1    -0.1     1.9     3.6     7.5    10.8    11.1    11.8     9.3     7.5     5.0     1.9     4.4    11.2     7.3     1.4     5.9
 1961    -0.5     2.9     3.2     6.1     6.5    10.3    11.0    11.4    12.2     8.1     2.6    -0.9     5.3    10.9     7.6     0.2     6.1
 1962     1.4    -0.1    -1.3     3.7     5.7     8.7    10.6    11.1     8.6     6.8     2.1    -2.8     2.7    10.1     5.8    -5.8     4.5
